Arquivo,MinRGB,MaxRGB,Blur,BlockSize,C,OCR,Esperado,Sucesso
10-31-51_frame_003364.jpg,205,240,1,11,0,10:39:81,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,0,26231242,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,0,10:31:78,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,0,26231242,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,0,16:33:97,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,0,10:31:78,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,1,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,1,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,1,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,1,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,1,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,1,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,1,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,1,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,1,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,1,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,2,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,2,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,2,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,2,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,2,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,2,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,2,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,2,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,2,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,2,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,3,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,3,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,3,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,3,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,3,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,3,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,3,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,3,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,3,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,3,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,4,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,4,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,4,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,4,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,4,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,4,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,4,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,4,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,4,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,4,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,5,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,5,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,5,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,5,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,5,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,5,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,5,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,5,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,5,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,5,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,-3,20:34:69,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,-3,10:33:72,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,-3,10:°33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,-3,10:32:68,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,-3,10:81:89,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,-3,26231241,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,-3,10:31:18,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,-3,26231241,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,-3,10:33: 92,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,-3,10:31:18,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,-2,20:34:02,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,-2,10:33:<¢,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,-2,10:33:08,10:33:08,True
10-32-59_frame_005378.jpg,205,240,1,13,-2,10:32:68,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,-2,10:31:69,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,-2,2€331:41,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,-2,10:31°98,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,13,-2,2€331:41,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,13,-2,10:33:97,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,13,-2,10:31:98,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,13,-1,20:34:07,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,13,-1,10:38:72,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,13,-1,10°33:03,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,13,-1,10:32:68,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,13,-1,10289389,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,13,-1,36239241,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,13,-1,10:31:18,10:31:15,False
