Arquivo,Esperado,Lido,Sucesso
10-32-32_frame_004568.jpg,10:32:32,10:32:32,True
10-32-33_frame_004600.jpg,10:32:33,10:32:33,True
10-32-35_frame_004659.jpg,10:32:35,10:32:35,True
10-32-36_frame_004688.jpg,10:32:36,10:32:36,True
10-32-37_frame_004718.jpg,10:32:37,10:32:37,True
10-32-38_frame_004750.jpg,10:32:38,10:32:38,True
10-32-39_frame_004778.jpg,10:32:39,10:32:39,True
10-32-40_frame_004811.jpg,10:32:40,10:32:40,True
10-32-41_frame_004839.jpg,10:32:41,10:32:41,True
10-32-42_frame_004868.jpg,10:32:42,10:32:42,True
10-32-43_frame_004904.jpg,10:32:43,10:32:43,True
10-32-45_frame_004960.jpg,10:32:45,10:32:45,True
10-32-46_frame_004988.jpg,10:32:46,10:32:46,True
10-32-47_frame_005018.jpg,10:32:47,10:32:47,True
10-32-48_frame_005049.jpg,10:32:48,10:32:48,True
10-32-49_frame_005083.jpg,10:32:49,10:32:49,True
10-32-50_frame_005108.jpg,10:32:50,10:32:50,True
10-32-51_frame_005139.jpg,10:32:51,10:32:51,True
10-32-52_frame_005172.jpg,10:32:52,10:32:52,True
10-32-53_frame_005198.jpg,10:32:53,10:32:53,True
10-32-54_frame_005232.jpg,10:32:54,10:32:54,True
10-32-55_frame_005258.jpg,10:32:55,10:32:55,True
10-32-56_frame_005288.jpg,10:32:56,10:32:56,True
10-32-57_frame_005319.jpg,10:32:57,10:32:57,True
10-32-58_frame_005350.jpg,10:32:58,10:32:58,True
10-32-59_frame_005378.jpg,10:32:59,10:32:58,False
10-33-01_frame_005379.jpg,10:33:01,10:33:01,True
10-33-02_frame_005387.jpg,10:33:02,10:33:02,True
10-33-03_frame_005416.jpg,10:33:03,10:33:03,True
10-33-04_frame_005450.jpg,10:33:04,10:33:04,True
10-33-05_frame_005478.jpg,10:33:05,10:33:05,True
10-33-06_frame_005508.jpg,10:33:06,10:33:06,True
10-33-07_frame_005536.jpg,10:33:07,10:33:07,True
10-33-08_frame_005567.jpg,10:33:08,10:33:03,False
10-33-09_frame_005597.jpg,10:33:09,10:33:09,True
10-33-10_frame_005630.jpg,10:33:10,10:33:10,True
10-33-11_frame_005657.jpg,10:33:11,70:33:11,False
10-33-12_frame_005688.jpg,10:33:12,10:33:12,True
10-33-13_frame_005716.jpg,10:33:13,10:33:13,True
10-33-15_frame_005776.jpg,10:33:15,10:33:15,True
